"action_allow","Zezwól"
"job_info_plantcropfields","Sadzenie roślin na polach uprawnych."
"job_info_plantcutting","Wycinanie roślin i wyrąb drzew."
"job_info_research","Rozważania i zapisywanie pomysłów umożliwiających rozwój osady.  Wykorzystuje:"
"job_name_patient","[Pacjent/Pacjentka]"
"job_info_patient","Oczekuje na opatrzenie rany."
"job_info_rest","Powrót do zdrowia dzięki leczeniu ran"
"job_info_smithing","Wytwarzanie przedmiotów z metalu.  Wykorzystuje:"
"job_info_tailoring","Wytwarzanie ubrań i nakryć głowy z sukna i skóry.  Wykorzystuje:"
"job_info_tendwounds","Opatrywanie ran. Osoba przenosi nieprzytomnych osadników do łóżek. Wykorzystuje:"
"job_name_carpentry","Ciesielstwo"
"job_name_construction","Budowanie"
"job_name_cooking","Gotowanie"
"job_name_crafting","Rzemiosło"
"job_name_harvesting","Zbiory"
"job_name_hauling","Transport"
"job_name_hunting","Polowanie"
"job_name_mining","Górnictwo"
"job_name_plantcropfields","Sadzenie"
"job_name_plantcutting","Wycinanie roślin"
"job_name_research","Badania"
"job_name_rest","Uzdrowienie"
"job_name_smithing","Kowalstwo"
"job_name_tailoring","Szycie"
"job_name_tendwounds","Opatrywanie"
"job_name_basic","Dozór"
"job_info_basic","Zajmowanie się podstawowymi zadaniami takimi jak zamykanie drzwi i okien, gaszenie pochodni itd."
"job_name_animal","Hodowla zwierząt"
"job_info_animal","Karmienie, opieka i pozyskiwanie produktów zwierzęcych.  Wykorzystuje:"
"job_priority_High","Priorytet: wysoki"
"job_priority_Highest","Priorytet: najwyższy"
"job_priority_Low","Priorytet: niski"
"job_priority_Lowest","Priorytet: najniższy"
"job_priority_None","Priorytet: brak"
"job_priority_Normal","Priorytet: normalny"
"job_title_priorities_column","<sprite=""ctrl_left_click"" index=t> – zwiększenie dla każdego <br/> <sprite=""ctrl_right_click"" index=t> – zmniejszenie dla każdego"
"passion_1_info","Osadnik zdobywa 2,5 raza więcej PD za tę umiejętność"
"passion_1_name","Pasja <sprite=""passion_star"" index=t>"
"passion_2_info","Osadnik zdobywa 4 razy więcej PD za tę umiejętność"
"passion_2_name","Wielka pasja <sprite=""passion_star"" index=t><sprite=""passion_star"" index=t>"
"job_name_train","Szkolenie"
"job_name_train_alt","Szkolenie bojowe"
"job_info_train","Trening umiejętności w zakresie posługiwania się bronią do walki wręcz i dystansową."
"job_name_art","Sztuka"
"job_info_art","Tworzenie dzieł sztuki. Wykorzystuje:"
"lb_self_tend","Samoleczenie"
"lb_self_tend_title","Zezwól na samoleczenie ran"
"lb_self_tend_info","Osadnik będzie samodzielnie opatrywać swoje rany. Jakość tego rodzaju opieki medycznej wynosi tylko 25% poziomu pomocy udzielanej przez inną osobę. Aby osadnik mógł sam się leczyć, należy zaznaczyć opatrywanie ran w panelu zajęć postaci."
"lb_self_tend_disabled_info","Aby osadnik mógł samodzielnie zająć się leczeniem swoich ran, w jego panelu prac musi być wybrane opatrywanie."
"job_overide_info","Nadawanie priorytetu temu zajęciu ma znaczenie wyłącznie podczas godzin pracy"
"job_name_UrgentHaul","Pilny transport"
"job_info_UrgentHaul","Przenieś tylko zasoby i przedmioty oznaczone jako „pilne”"
"job_name_Fishing","Łowienie ryb"
"job_info_Fishing","Zdobywanie pożywienia poprzez łowienie ryb na wędkę."
"job_name_Alchemy","Alchemia"
"job_info_Alchemy","Transmutacja i wyodrębnianie substancji do różnych zastosowań. Wykorzystuje:"
"goal_preference_name_Resentful","Oburzenie"
"goal_preference_info_Resentful","[Osadnik/Osadniczka] zyska tylko 0,2 x PD. <br/>Wykonywanie tego zajęcia spowoduje pogorszenie nastroju osoby."
"goal_preference_name_Unwilling","Niechęć"
"goal_preference_info_Unwilling","[Osadnik/Osadniczka] zyska tylko 0,5 x PD. <br/>Wykonywanie tego zajęcia spowoduje pogorszenie nastroju osoby."
"goal_preference_name_Indifferent","Obojętność"
"goal_preference_info_Indifferent","[Osadnik/Osadniczka] zyska 1 x PD"
"goal_preference_name_Eager","Zapał"
"goal_preference_info_Eager","[Osadnik/Osadniczka] zyska 2,5 x PD. <br/>Wykonywanie tego zajęcia spowoduje poprawę nastroju osoby."
"goal_preference_name_Passionate","Pasja"
"goal_preference_info_Passionate","[Osadnik/Osadniczka] zyska 4 x PD <br/>Wykonywanie tego zajęcia spowoduje poprawę nastroju osoby."
"goal_preference_name_Incapable","Niezdolność"
"goal_preference_info_Incapable","[Osadnik/Osadniczka] nie może wykonywać tej pracy"
"job_preferences","Preferencje zajęcia"
"goal_preference_name_PhysicalLaborPreference","Proste prace"
"goal_preference_name_MiningPreference","Górnictwo"
"goal_preference_name_ConstructionPreference","Budowanie"
"goal_preference_name_CraftingPreference","Rzemiosło"
"goal_preference_name_HuntingPreference","Polowanie"
"goal_preference_name_PlantsPreference","Botanika"
"goal_preference_name_SmithingPreference","Kowalstwo"
"goal_preference_name_CarpentryPreference","Ciesielstwo"
"goal_preference_name_CookingPreference","Gotowanie"
"goal_preference_name_TailoringPreference","Szycie"
"goal_preference_name_ResearchPreference","Intelekt"
"goal_preference_name_TendingPreference","Opatrywanie"
"goal_preference_name_AnimalPreference","Hodowla zwierząt"
"goal_preference_name_ArtPreference","Sztuka"
"goal_preference_name_ViolencePreference","Walka"
"goal_preference_name_RangedCombatPreference","Walka dystansowa"
"goal_preference_name_MeleeCombatPreference","Walka wręcz"
"goal_preference_name_TradingPreference","Wymiana"
"goal_preference_name_BardPreference","Występuje"
"goal_preference_name_PriestPreference","Chaplain Duties"
"goal_preference_name_ShamanPreference","Druid Duties"
"goal_preference_info_TradingPreference","Bartering with Merchants and Negotiating"
"goal_preference_info_BardPreference","Performing at feasts and in the Great Hall during bard appointed hours"
"goal_preference_info_PriestPreference","Prowadzi ceremonię Kościoła Restytucji"
"goal_preference_info_ShamanPreference","Prowadzi ceremonię Bractwa Dębu"
"goal_preference_info_PhysicalLaborPreference","Nie zna się na niczym szczególnym; nadaje się do fizycznej pracy, takiej jak transport czy stróżowanie"
"goal_preference_info_MiningPreference","Kopanie i prace górnicze w zaznaczonych obszarach na mapie."
"goal_preference_info_ConstructionPreference","Budowa, rozbiórka i naprawa budynków."
"goal_preference_info_CraftingPreference","Praca niewymagająca umiejętności. Wytwarzanie podstawowych przedmiotów, np. cegieł."
"goal_preference_info_HuntingPreference","Polowanie na oznaczone zwierzęta."
"goal_preference_info_PlantsPreference","Przydatna w sianiu, sadzeniu, zbiorach oraz pozyskiwaniu roślin, ziół i owoców."
"goal_preference_info_SmithingPreference","Wytwarzanie przedmiotów z metalu."
"goal_preference_info_CarpentryPreference","Wytwarzanie przedmiotów i broni z drewna."
"goal_preference_info_CookingPreference","Przygotowywanie posiłków i napojów. Konserwowanie żywności."
"goal_preference_info_TailoringPreference","Wytwarzanie ubrań i nakryć głowy z sukna i skóry."
"goal_preference_info_ResearchPreference","Rozważania i zapisywanie pomysłów umożliwiających rozwój osady."
"goal_preference_info_TendingPreference","Opatrywanie ran. Osoba przenosi nieprzytomnych osadników do łóżek."
"goal_preference_info_AnimalPreference","Karmienie, opieka i pozyskiwanie produktów zwierzęcych."
"goal_preference_info_ArtPreference","Tworzenie dzieł sztuki."
"goal_preference_info_ViolencePreference","Używa broni do walki wręcz i dystansowej"
"goal_preference_info_RangedCombatPreference","Podczas łowów i polowań używa broni dystansowej, przykładowo łuku, kuszy lub broni miotającej."
"goal_preference_info_MeleeCombatPreference","Używa broni do walki wręcz"
"research_name_agriculture_lvl3","Rolnictwo III"
"research_name_agriculture_lvl2","Rolnictwo II"
"research_name_agriculture_lvl1","Rolnictwo"
"research_name_architecture_lvl1","Architektura"
"research_info_agriculture_lvl1","Odblokuj pola uprawne, aby zapewnić stałe zapasy żywności na nadchodzącą zimę."
"research_name_armor_production_lvl1","Płatnerz"
"research_name_armor_production_lvl2","Płatnerz II"
"research_name_armor_production_lvl3","Płatnerz III"
"research_name_axes_lvl2","Topory"
"research_name_banners_lvl1","Ozdobne sztandary"
"research_name_blacksmithing_lvl1","Kowalstwo"
"research_name_brewing_lvl1","Browarnictwo"
"research_name_chemistry_lvl1","Chemia"
"research_name_clay_brick_production_lvl1","Wytwarzanie glinianych cegieł"
"research_name_clothing_production_lvl1","Szycie"
"research_name_cooking_lvl1","Gotowanie"
"research_name_crossbows_lvl2","Kusze I"
"research_name_crossbows_lvl3","Kusze II"
"research_name_defensive_constructions_lvl1","Obiekty obronne"
"research_name_defensive_constructions_lvl2","Obiekty obronne II"
"research_name_defensive_constructions_lvl3","Pułapki obronne"
"research_name_decorations_lvl1","Obiekty ozdobne"
"research_name_decorations_lvl2","Obiekty ozdobne II"
"research_name_destiling_01","Destylacja"
"research_name_fermenting_lvl1","Fermentacja"
"research_name_fletchering_lvl2","Lotki II"
"research_name_fletchering_lvl3","Lotki III"
"research_name_furniture_lvl1","Meble"
"research_name_furniture_lvl2","Meble II"
"research_name_iron_constructions_lvl1","Żelazne konstrukcje"
"research_name_iron_smelting_lvl1","Przetapianie"
"research_name_maces_lvl2","Maczugi"
"research_name_preserving_food_lvl1","Konserwacja żywności"
"research_name_preserving_food_lvl2","Konserwacja żywności II"
"research_name_research_tier_02","Badania II"
"research_name_research_tier_03","Badania III"
"research_name_shield_production_lvl2","Tarcze II"
"research_name_shield_production_lvl3","Tarcze III"
"research_name_steel_smelting","Stal"
"research_name_stone_block_production_lvl1","Cięcie kamiennych bloków"
"research_name_swords_lvl2","Miecze"
"research_name_woodwork_lvl2","Drewniana broń II"
"research_name_woodwork_lvl1","Drewniana broń"
"research_name_cartography","Kartografia"
"research_name_beekeeping_lvl1","Pszczelarstwo"
"research_name_ice_production_lvl1","Wytwarzanie lodu"
"research_name_trophy","Wieszanie trofeów"
"research_name_terraforming","Tworzenie terenu"
"research_name_terraforming_alt","Tworzenie krajobrazu"
"research_name_treining_equipment","Wyposażenie do szkolenia bojowego"
"research_name_painting_01","Malarstwo"
"research_name_tapestry_01","Gobeliny"
"research_name_statues_stone_01","Rzeźbienie w kamieniu"
"research_name_statues_wood_01","Rzeźbienie w drewnie"
"research_name_art_metal","Obróbka metali"
"research_name_metal_art_01","Wytwarzanie luster"
"research_name_art_metal_02","Wytwarzanie luster"
"research_name_rugs_01","Tkanie dywanów"
"research_name_furniture_lvl3","Meble III"
"research_name_furniture_lvl4","Meble IV"
"research_name_religious_structures_lvl1","Obiekty religijne"
"research_name_religious_structures_lvl2","Obiekty religijne II"
"research_name_religious_structures_lvl3","Obiekty religijne III"
"event_tooltip_started","Rozpoczęto"
"event_tooltip_lasts","Trwało przez"
"event_answer_01","Akceptuj"
"event_answer_decline_new_worker","Osadnicy zamykają wrota, <name> pozostaje na zewnątrz."
"event_answer_decline_help_runaway","Osadnicy zamykają wrota, <name> pozostaje na zewnątrz."
"event_answer_prepare_for_battle","Mieszkańcy osady <village_name> chwytają za broń i przygotowują się do walki."
"event_answer_04","Gotowe"
"event_answer_welcome_new_worker","Mieszkańcy postanawiają powitać [go/ją] w osadzie <village_name>."
"event_answer_help_runaway","Mieszkańcy osady <village_name> postanawiają [mu/jej] pomóc."
"event_answer_surrender_worker","Mieszkańcy osady <village_name> postanawiają, że <name> musi zostać [przekazany/przekazana] napastnikom."
"event_answer_refuse_give_worker","Dzielni mieszkańcy osady <village_name> odmawiają spełnienia żądań napastników."
"event_answer_worker_allready_gone","<name> [odszedł/odeszła] z osady <village_name> i spełnienie żądania jest niemożliwe."
"event_blight_01","Osadnicy wiedzą, że zaraza zbożowa oznacza walkę z czasem. Każdy robotnik zdolny do pracy w osadzie <village_name> ciężko pracuje, aby pozbyć się plagi, zanim zaatakuje zdrowe uprawy. Od tego zależy ich przyszłość!"
"event_cold_01","Ostry mróz zmienił ziemię w twardy głaz, niszcząc zasiane uprawy. Popękały drzewa, ptaki zamarzły na śmierć, a rzeki skuła gruba warstwa lodu. Aby uniknąć śmiertelnego pocałunku zimna, mieszkańcy osady <village_name> muszą ciepło się ubierać i ogrzewać pomieszczenia sypialne."
"event_cold_warning","Temperatura w regionie jest bardzo niska"
"event_hail_01","Padający z nieba lód przerodził się w prawdziwą gradową nawałnicę. Mieszkańcy osady <village_name> mogą tylko trząść się niespokojnie, chroniąc się przed przybierającą na sile nawałnicą. Po przejściu burzy wychodzą z kryjówek, aby zobaczyć, które uprawy i niezabezpieczone zapasy zdołały przetrwać gradobicie."
"event_hail_warning","Burze gradowe niszczą rośliny"
"event_heat_wave_01","<br/>W prażącym ostro słońcu pot ścieka strumieniami z pleców osadników. Ludzie szybko męczą się w upale i marnieją tak samo jak uprawy, które należy zebrać zanim zwiędną. Robotnicy potrzebują cienia, a część z nich pracuje po zmroku."
"event_heat_wave_warning","Temperatura w regionie jest bardzo wysoka"
"event_merchant_01","Fakt, że handlował relikwiami świętych, które na całym świecie kojarzyły się z kurzymi kośćmi, nie mógł napawać optymizmem. A jednak ten obszarpany wędrowiec z chytrym uśmiechem na twarzy ma do zaoferowania o wiele więcej."
"event_merchant_02","Zapach przypraw w powietrzu zwiastuje przybycie karawany kupieckiej, które mocno podnosi na duchu mieszkańców osady <village_name>. Czy przywozi futra, sukno i wieści z szerokiego świata? „Dobrzy ludzie, mamy mnóstwo rozmaitych towarów!” – woła kupiec. „Chodźcie, na pewno się dogadamy!”"
"event_name_merchant_01","Chytry kupiec"
"event_name_merchant_02","Karawana kupiecka"
"event_visitor_name","[Samotny wędrowiec/Samotna wędrowczyni]"
"game_event_type_visitor","Przyjacielska wizyta"
"event_weapons_merchant","Do osady <village_name> zbliża się ciągnięty przez krzepkiego kucyka wóz wyładowany towarami [handlarza/handlarki] bronią. „Chrońcie się! Zabijajcie swoich wrogów!” – woła [handlarz/handlarka] . „Mam mnóstwo mieczy i pancerzy, a także niedrogie łuki i tarcze dla zwykłych piechurów”."
"event_rare_goods_merchant","[Handlarz/handlarka] luksusowymi towarami przywozi czasami miecze wykute z toledańskiej i damasceńskiej stali, mediolańskie zbroje, niezwykłe części mechaniczne, ezoteryczne składniki oraz księgi oprawione w grubą skórę. Dostępne w ofercie ekskluzywne i starannie wyselekcjonowane wyroby mają swoją cenę."
"event_black_market_merchant","Handel osobliwymi, podejrzanymi i zakazanymi towarami kwitnie, ale trzeba wiedzieć, gdzie ich szukać. Delikatne skinienie głową, drobny gest w podejrzanej tawernie albo zaproszenie nocną porą mogą zaowocować spotkaniem z osobą handlującą pokątnie towarem z kontrabandy."
"event_visitor","[Kościsty handlarz/Koścista handlarka] wykłada swoje towary na lnianym płótnie. „Kupuję i sprzedaję rzeczy, które zdobywam po drodze” – mówi z szelmowskim uśmiechem. „Zapraszam, zapraszam!” – woła."
"event_name_role_visitor","<role> – wizyta"
"event_role_visitor","<name> z frakcji <faction_name> zaszczyca nas swoją wizytą. W swojej osadzie pełni rolę: <role>. Zorganizuj wydarzenie, aby jak najpełniej wykorzystać obecność tej osoby."
"warning_message_short_visitor","Visitor"
"warning_message_info_visitor","<village_name> has a visitor from a friendly or neutral faction. If they hold a community role, you can hold a special event relevant to their expertise. Inviting them gives a better quality experience."
"event_name_blight_01","Zaraza zbożowa"
"news_name_blight","Zaraza zbożowa"
"news_info_blight","Każ osadnikom wycinać zainfekowane rośliny, zanim zaraza się rozprzestrzeni."
"event_name_cold_01","Atak mrozu"
"event_name_hail_01","Gradobicie"
"event_name_heat_wave_01","Fala upałów"
"event_name_new_worker_defoult_01","Pomocna dłoń"
"event_name_new_worker_sick_01","Powrót do zdrowia"
"event_name_new_worker_starving_01","Ratunek przed głodem"
"event_name_new_worker_wounded_01","Bezpieczne schronienie"
"event_name_new_worker_wounded_02","Złe drzewo"
"event_name_raid_general","Atak (<faction_name>)"
"event_name_raid_animal_01","Bezlitosna wataha"
"event_name_raid_avalon_01","Atak Kręgu Avalonu"
"event_name_raid_kingdom_of_york_01","Atak królestwa Yorku"
"event_name_raid_progeny_01","Atak bractwa Potomków"
"event_name_raid_resources_01","Atak piratów"
"event_name_raid_savages_01","Dzicy mordercy"
"event_name_raid_sons_of_england_01","Atak Synów Anglii"
"event_name_raid_third_coming_01","Atak bractwa Trzeciego Przyjścia"
"event_name_claim_runaway_general","Okrutni zbóje (<faction_name>)"
"event_name_runaway_01","Więzień"
"event_name_runaway_01_b","Okrutni zbóje ([Więzień/Więźniarka])"
"event_name_runaway_name","Zguba"
"event_name_runaway_02_b","Okrutni zbóje (Zguba)"
"event_name_runaway_03","Przemoc domowa"
"event_name_runaway_03_b","Okrutni zbóje (Przemoc domowa)"
"event_name_runaway_general","Zbawienie (<faction_name>)"
"event_name_runaway_04_b","Okrutni zbóje (Zbawienie)"
"event_name_runaway_05","Przekąska barbarzyńców"
"event_name_runaway_05_b","Okrutni zbóje (Przekąska barbarzyńców)"
"event_name_supernatural_01","Rogaty złodziej"
"event_name_supernatural_02","Dziki Gon"
"event_name_supernatural_03","Ogień św. Antoniego"
"event_name_thunderstorm_01","Młot Thora"
"event_new_worker_defoult_01","<name> zbliża się z pozdrawiającym gestem i szczerym uśmiechem na twarzy. Pragnie poznać osadę <village_name> i oferuje swoją pomoc. Chce znaleźć dla siebie miejsce, które [mógłby/mogłaby] nazwać domem."
"event_new_worker_sick_01","Do osady <village_name> niepewnym krokiem zbliża się [kulejący wędrowiec/kulejąca wędrowniczka]. Twierdzi, że gdy tylko wypocznie, będzie [mógł/mogła] pracować, ale w tej chwili nie wygląda za dobrze. Czy pozwolisz, aby <name> [wydobrzał/wydobrzała] w waszej osadzie i [znalazł/znalazła] w niej schronienie?"
"event_new_worker_starving_01","Kiedy <name> pojawia się w osadzie <village_name>, [jest wychudzony/jest wychudzona], a włosy wypadają [mu/jej] garściami. Mieszkańcy wpatrują się w wyniszczoną, zagłodzoną sylwetkę. Gdy prosi o pomoc, na [jego/jej] twarzy widnieje prawdziwa desperacja. Czy udzielisz [mu/jej] schronienia?"
"event_new_worker_wounded_01","Niedaleko osady <village_name> zauważacie bladą i idącą niepewnie postać. <name> krwawi z głębokiej rany i potrzebuje odpoczynku. „To była walka o honor” – mówi, z trudem łapiąc powietrze. Czy udzielisz [mu/jej] gościny?"
"event_new_worker_wounded_02","[Nieprzytomnego i zakrwawionego/Nieprzytomną i zakrwawioną], znalazł [go/ją] jeden z mieszkańców osady <village_name>. Sądząc po siekierze i stercie drewna, <name> [miał/miała] najwyraźniej wypadek podczas wyrębu. Czy pozwolisz [mu/jej] zostać i wyleczyć się z ran?"
"event_raid_animal_01","W osadzie <village_name> pojawia się bezlitosne stado wilków z wyszczerzonymi kłami i błyszczącymi oczami. Nie wiadomo, czy przywiódł je tutaj głód, czy raczej żądza mordu. Wymachujący narzędziami i szybko zabezpieczający zapasy osadnicy muszą przepędzić dzikie zwierzęta.<br/>"
"event_raid_general_allready_gone","Intruzi odchodzą jak niepyszni i <name> nie wpadnie w ich ręce."
"event_raid_general_decline_hostile","Opieracie się intruzom, odmawiając ich żądaniom."
"event_raid_general_decline_neutral","Opieracie się intruzom, odmawiając ich żądaniom. Napastnicy odchodzą, ale wasze stosunki z frakcją <faction_name> pogarszają się."
"event_raid_resources_01","Przeszli przez rzekę, pojawili się niespodziewanie i przynieśli ze sobą smród rozkładu. Upiorni rabusie z <origin> stanowią dla osady <village_name> realne zagrożenie. Zaprzestaną nękania, jeżeli spełnicie ich żądania (<resource>)."
"event_raid_resources_01_accept","Intruzi odchodzą tak samo szybko jak przyszli, zabierając ze sobą zasoby (<resource>)."
"event_raid_general","<br/><br/>Najeźdźcy pojawiają się nagle, bez ostrzeżenia. Niemal natychmiast powietrze gęstnieje od zapachu krwi i strachu. Posępni i dzicy wrogowie przybyli tutaj tylko w jednym celu: złupić osadę <village_name> i wymordować jej mieszkańców."
"event_raid_church_of_third_coming","Wśród łopoczących na wietrze proporców przybywają odziani w zbroje żołnierze, a każdy z nich ma na szatach trzy białe krzyże. Najpierw się modlą, z potem zabijają niewiernych, tak samo bezlitośni, jak fanatycznie oddani swojej wierze."
"event_raid_ancrene_disciples","Z oczami błyszczącymi od płomiennej żarliwości ruszają naprzód z głośnym śpiewem na ustach, wycinając w pień błagające o litość ofiary. Adepci Objawienia poprzysięgli przegnać Diabła, niszcząc co do jednego jego ziemskie sługi."
"event_raid_faithful_sons_of_england","„Za króla i ojczyznę!” – wołają, atakując z ponurą determinacją. Synowie Anglii nie spoczną, póki ich umiłowany kraj nie spłynie krwią."
"event_raid_band_of_the she_wolf","Na czele szarży kompanii jadą srodzy baronowie. „Za prawowitą królową!” – wykrzykują gromko, wprawnie wymachując mieczami i tnąc swych wrogów na kawałki."
"event_raid_philosophers_of_the_natural_order","Niczym stado rozwścieczonych kruków, ubrani w komicznie łopoczące na wietrze czarne szaty akademicy zbierają siły i obmyślają plan. Ich błyskotliwe umysły są całkowicie pochłonięte ideą zburzenia osady <village_name>. Zniszczą wszystko z wyjątkiem ksiąg, które zamierzają ukraść."
"event_raid_society_of_fellows","Po ożywionej i zażartej dyskusji uczeni kolejno głosują demokratycznie, po czym szykują się do ataku. „Doigraliście się, bezmyślni głupcy!” – wrzeszczą, wpadając do osady <village_name> z zaciętością godną zbuntowanych dysydentów."
"event_raid_kingdom_of_york","Zbliżają się żądni krwi rojalistów żołnierze. „Lojaliści są winni ludobójstwa!” – wołają. Rozlew krwi wydaje się nieunikniony."
"event_raid_heresy_of_the_rose","Kiedy Heretycy ruszają do walki, na ludzi pada blady strach. Ujadają, piszczą, biją w bębny, śpiewają... Niektórzy noszą rogi, a dziewczęta rzucają płatki róż pod nogi rozkrzyczanej ciżby. Wielu dzierży uniesione wysoko płonące symbole. „Przybywamy po wasze dusze!” – woła jeden z nich. W ich szeregach rozlegają się głośne salwy śmiechu. Bezmyślna masakra jest nieunikniona."
"event_raid_circle_of_avalon","Cóż to za widok! Wspaniali rycerze w lśniących zbrojach! Ale starzy bogowie od zawsze łaknęli chrześcijańskiej krwi, a rycerze Cedrica chętnie przelaliby waszą."
"event_raid_beirdd_cymraeg","Barwni, teatralni i ekstrawaganccy. Bardów ciężko tak zwyczajnie zignorować. Oczarują i rozbawią, ale lepiej porzucić wszelkie złudzenia. Jeżeli nie przekonają was do swoich racji, z chęcią rzucą się do walki, aby móc później opowiedzieć wspaniałą historię o tych wydarzeniach."
"event_raid_progeny_of_the_plague","Szukają niewolników! Żądają krwi! Bezlitośni najeźdźcy będą mordować i plądrować."
"event_raid_ravagers","Oni nie wcale nie cierpią głodu, tylko po prostu są chciwi. Pustoszyciele już wyobrażają sobie smakowitą ucztę, na której głównym daniem będzie pieczeń z ludzkiego mięsa. Mówią, że mięso to zabójstwo, a tym razem może być wasze."
"event_raid_forest_bandits","Pojawili się znienacka. Fałszywe spojrzenia i potargane włosy. Cuchnący i umazani krwią. Nikt z mieszkańców osady <village_name> nie ma wątpliwości, że to rabusie najgorszego gatunku. To ludzie zdolni do wszystkiego, którzy nie mają nic do stracenia."
"event_raid_mountain_bandits","Pojawili się znienacka. Fałszywe spojrzenia i potargane włosy. Cuchnący i umazani krwią. Nikt z mieszkańców osady <village_name> nie ma wątpliwości, że to rabusie najgorszego gatunku. To ludzie zdolni do wszystkiego, którzy nie mają nic do stracenia."
"event_raid_river_bandits","Pojawili się znienacka. Fałszywe spojrzenia i potargane włosy. Cuchnący i umazani krwią. Nikt z mieszkańców osady <village_name> nie ma wątpliwości, że to rabusie najgorszego gatunku. To ludzie zdolni do wszystkiego, którzy nie mają nic do stracenia."
"event_raid_looters","Pojawili się znienacka. Fałszywe spojrzenia i potargane włosy. Cuchnący i umazani krwią. Nikt z mieszkańców osady <village_name> nie ma wątpliwości, że to rabusie najgorszego gatunku. To ludzie zdolni do wszystkiego, którzy nie mają nic do stracenia."
"event_raid_scourge","W powietrzu czuć zapach siarki, a na skórze pojawia się mrowienie. To jedyne znaki wskazujące na zbliżający się atak Bicza Bożego. Nikogo nie widać i nie słychać. Ten, kto zdoła przeżyć, jest świadkiem scen z piekła rodem."
"event_runaway_general","<name> nieustannie ogląda się za siebie. Krwawe pręgi wokół kostek wskazują dobitnie, że jest zbiegiem. Czy chcesz zapewnić [mu/jej] schronienie? Możliwe, że ktoś [go/ją] ściga."
"event_runaway_church_of_third_coming","Nie wiadomo, czy to członkowie kościoła Trzeciego Przyjścia szukający nieszczęsnych grzeszników, aby ukarać ich dla przykładu, czy inni fanatyczni wyznawcy jakiegoś kultu. <name> niespójnie opowiada o religii, torturach i ucieczce... ale trudno wyciągnąć od [niego/niej] jakieś dokładniejsze informacje. Czy zapewnisz [mu/jej] schronienie? To może narazić osadę na niebezpieczeństwo."
"event_runaway_ancrene_disciples","<name> twierdzi, że Adepci chcieli spalić [go/ją] żywcem. Oczy ma załzawione, a ubiór okopcony. Czy uratujesz [go/ją] przed stosem? Możliwe, że w ślad za [nim/nią] zjawi się pościg."
"event_runaway_faithful_sons_of_england","<name> [szedł/szła] przez wiele dni, ukrywając się w lasach, rowach i opuszczonych stodołach. Poplecznicy samozwańczego króla zawzięcie tropili [go/ją] z ogarami. „Nikomu niczego złego nie [uczyniłem/uczyniłam]” – twierdzi <name>, prosząc osadę <village_name> o ochronę. Czy podejmiesz ryzyko? Wojsko Edmunda może być niedaleko."
"event_runaway_band_of_the she_wolf","<name> z ogromnym trudem [doczołgał/doczołgała] się do osady <village_name>. [Jest zdrowy i dobrze odżywiony/Jest zdrowa i dobrze odżywiona], ale najwyraźniej cierpi na jakąś dziwną chorobę. „Ćwieki i ciało, ćwiekom śmierci mało…” – szepcze ochrypłym głosem. Ostatnio pojawiły się pogłoski, że królowa Izabela przyjęła do służby nekromantę. Czy <name> może pozostać w osadzie?"
"event_runaway_philosophers_of_the_natural_order","<name> twierdzi, że ucieka przed grupą rozwścieczonych Filozofów. [Został przez nich pobity/Została przez nich pobita] z powodu rozumowania redukcyjnego i epistemologicznego sceptycyzmu. „Nie mam pojęcia, o czym rozprawiali, ale nie chcieli mnie słuchać”. Czy zaproponujesz [mu/jej] gościnę? Możliwe są pewne reperkusje."
"event_runaway_society_of_fellows","<name> [przybył/przybyła] do osady w wielkim pośpiechu, twierdząc, że prześladuje [go/ją] pewien nikczemny alchemik. [Uciekł/Uciekła], a okultyści i ich poplecznicy rzucili się w pościg. Czy <name> może znaleźć schronienie w osadzie <village_name>? Stowarzyszenie Braci słynie z osobliwych metod zemsty."
"event_runaway_kingdom_of_york","[Zrozpaczony i zdesperowany/Zrozpaczona i zdesperowana] <name> [został oskarżony/została oskarżona] o dążenie do obalenia monarchii i zdradę królestwa Yorku. „[Jestem niewinny/Jestem niewinna]” – łka żałośnie. Czy <name> może pozostać w waszej osadzie? Musicie liczyć się z konsekwencjami."
"event_runaway_heresy_of_the_rose","Kiedy <name> [przybył/przybyła] do osady, nie [był/była] w stanie wykrztusić ani słowa. Na ciele ma mnóstwo siniaków i blizn, a także widocznych śladów tortur. Ponieważ [uczynił/uczyniła] znak rogów, domyślacie się, że jest to dzieło Heretyków Róży. Czy dasz [mu/jej] schronienie? Możliwe, że jest [ścigany/ścigana]."
"event_runaway_circle_of_avalon","<name> [został zabrany/została zabrana] wbrew swojej woli przez rycerzy w lśniących zbrojach. [Wymknął się/Wymknęła się] nocą, po czym [wędrował/wędrowała] boso wyboistymi i dziurawymi drogami. „Pozwólcie mi zostać, nie opuszczajcie mnie” – błaga. Czy <name> może liczyć na schronienie w waszej osadzie? W ślad za [nim/nią] mogą przybyć paladyni."
"event_runaway_beirdd_cymraeg","<name> wygląda na [zakłopotanego/zakłopotaną]. „Czy mogę się tu schronić?” – pyta. „Uciekam przed bardami”. Mając dość ich poezji i nieustannych ćwiczeń gry na lutni, <name> [wyraził/wyraziła] nieprzychylną opinię o jednym z występów. [Jego/Jej]. „[Chciałem/Chciałam] tylko mieć ciszę i spokój” – wyjaśnia. Czy pozwolisz, aby <name> [pozostał/pozostała] w osadzie? Może to mieć swoją cenę."
